CSV CAN data
Converted from Kvaser Memorator at,2023-10-14 13:05:08
                                                        
Format of data field,HEX
Format of id field,DEC
Timestamp Offset,             0.00000,seconds
Logging started at,2023-07-11 18:02:45
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.45406,1,1684,2,6,01,83,00,00,00,00,,,290,2023-07-11 18:02:45
0.45415,1,1712,2,4,00,00,00,00,,,,,291,2023-07-11 18:02:45
0.45424,1,1714,2,4,00,00,00,00,,,,,292,2023-07-11 18:02:45
0.45446,2,1538,2,5,23,02,03,33,33,,,,293,2023-07-11 18:02:45
0.45600,1,1313,2,6,00,0f,00,00,00,02,,,294,2023-07-11 18:02:45
0.45850,2,1990,2,8,00,00,ff,ff,00,00,00,00,295,2023-07-11 18:02:45
0.45858,1,257,2,8,00,00,00,00,00,00,00,00,296,2023-07-11 18:02:45
0.45862,2,1991,2,8,00,00,00,00,00,00,00,00,297,2023-07-11 18:02:45
0.45875,2,1993,2,8,00,00,00,00,00,00,00,00,298,2023-07-11 18:02:45
0.45887,2,1994,2,8,00,00,00,00,00,00,00,00,299,2023-07-11 18:02:45
0.45900,2,1995,2,8,00,00,00,00,00,00,02,21,300,2023-07-11 18:02:45
0.45912,2,1996,2,8,00,00,00,00,00,00,00,00,301,2023-07-11 18:02:45
0.45925,2,1997,2,8,00,00,00,00,00,00,00,00,302,2023-07-11 18:02:45
0.45937,2,257,2,8,00,00,00,00,00,00,00,00,303,2023-07-11 18:02:45
